20000658 3 
20002466 3 
20247400 1 e8035e49e0c0
20249208 1 e8035e49e100
20251016 1 e8035e49e140
20252824 1 e8035e49e180
20254632 1 e8035e49e1c0
20256440 1 e8035e49e200
20258248 1 e8035e49e240
20260056 2 
20261864 1 e8035e49e2c0
20263672 1 e8035e49e300
20265480 1 e8035e49e340
20267288 1 e8035e49e380
20269096 1 e8035e49e3c0
20270904 1 e8035e49e400
20272712 1 e8035e49e440
20274520 1 e8035e49e480
20276328 1 e8035e49e4c0
20278136 1 e8035e49e500
20279944 2 
20281752 1 e8035e49e580
20283560 1 e8035e49e5c0
20285368 1 e8035e49e600
20287176 1 e8035e49e640
20288984 1 e8035e49e680
20290792 3 
20292600 1 e8035e49e700
20294408 3 
20296216 1 e8035e49e780
20298024 1 e8035e49e7c0
20299832 1 e8035e49e800
20301640 1 e8035e49e840
20303448 1 e8035e49e880
20305256 1 e8035e49e8c0
20307064 1 e8035e49e900
20308872 1 e8035e49e940
20310680 1 e8035e49e980
20312488 1 e8035e49e9c0
20314296 1 e8035e49ea00
20316104 1 e8035e49ea40
20317912 1 e8035e49ea80
20319720 1 e8035e49eac0
20321528 1 e8035e49eb00
20323336 1 e8035e49eb40
20325144 1 e8035e49eb80
20326952 1 e8035e49ebc0
20328760 1 e8035e49ec00
20330568 1 e8035e49ec40
20332376 1 e8035e49ec80
20334184 1 e8035e49ecc0
20335992 1 e8035e49ed00
20337800 1 e8035e49ed40
20339608 1 e8035e49ed80
20341416 1 e8035e49edc0
20343030 1 
20343128 1 e8035e4a06c0
20343352 1 e8035e4a0700
20343576 1 e8035e4a0740
20343800 1 e8035e4a0780
20344024 1 e8035e4a07c0
20344248 1 e8035e4a0800
20344472 1 e8035e4a0840
20344696 1 e8035e4a0880
20344920 1 e8035e4a08c0
20345144 3 
20345368 1 e8035e4a0940
20345592 1 e8035e4a0980
20345816 1 e8035e4a09c0
20346040 1 e8035e4a0a00
20346264 1 e8035e4a0a40
20346488 1 e8035e4a0a80
20346712 1 e8035e4a0ac0
20346936 1 e8035e4a0b00
20347160 1 e8035e4a0b40
20347384 1 e8035e4a0b80
20347608 1 e8035e4a0bc0
20347832 1 e8035e4a0c00
20348056 1 e8035e4a0c40
20348280 1 e8035e4a0c80
20348504 1 e8035e4a0cc0
20348728 1 e8035e4a0d00
20348952 1 e8035e4a0d40
20349176 1 e8035e4a0d80
20349400 1 e8035e4a0dc0
20349624 1 e8035e4a0e00
20349848 1 e8035e4a0e40
20350072 1 e8035e4a0e80
20350205 1 e8035e49ee00
20350883 1 e8035e49ee40
20352691 1 e8035e49ee80
20354499 1 e8035e49eec0
20356307 1 e8035e49ef00
20358115 1 e8035e49ef40
20359923 1 e8035e49ef80
20361731 1 e8035e49efc0
20363539 1 
20365347 1 e8035e4a1040
20367155 1 e8035e4a1080
20368963 1 e8035e4a10c0
20370771 1 e8035e4a1100
20372579 1 e8035e4a1140
20374387 1 e8035e4a1180
20376195 1 e8035e4a11c0
20378003 1 e8035e4a1200
20379811 1 e8035e4a1240
20381619 1 e8035e4a1280
20383427 1 e8035e4a12c0
20385235 1 e8035e4a1300
20387043 1 e8035e4a1340
20388851 1 e8035e4a1380
20390659 1 e8035e4a13c0
20392467 1 e8035e4a1400
20394275 1 e8035e4a1440
20396083 1 e8035e4a1480
20397891 1 e8035e4a14c0
20399699 1 e8035e4a1500
20401507 1 e8035e4a1540
20403315 1 e8035e4a1580
20405123 1 e8035e4a15c0
20406931 1 e8035e4a1600
20408739 1 e8035e4a1640
20410547 1 e8035e4a1680
20412355 1 e8035e4a16c0
20414163 1 e8035e4a1700
20415971 1 e8035e4a1740
20417779 1 e8035e4a1780
20419587 1 e8035e4a17c0
20421395 1 e8035e4a1800
20423203 1 e8035e4a1840
20425011 1 e8035e4a1880
20426819 1 e8035e4a18c0
20428627 1 e8035e4a1900
20430435 1 e8035e4a1940
20432243 1 e8035e4a1980
20434051 1 e8035e4a19c0
20435859 1 e8035e4a1a00
20437667 1 e8035e4a1a40
20439475 1 e8035e4a1a80
20441283 1 e8035e4a1ac0
20443091 1 e8035e4a1b00
20444899 1 e8035e4a1b40
20446707 1 e8035e4a1b80
20448515 1 e8035e4a1bc0
20450323 1 e8035e4a1c00
20452131 1 e8035e4a1c40
20453939 1 e8035e4a1c80
20455747 1 e8035e4a1cc0
20457555 1 e8035e4a1d00
20459363 1 e8035e4a1d40
20461171 1 e8035e4a1d80
20462979 1 e8035e4a1dc0
20464787 1 e8035e4a1e00
20465949 1 
20465977 1 e8035e4a36c0
20466187 1 e8035e4a3700
20466411 1 e8035e4a3740
20466635 1 e8035e4a3780
20466859 1 e8035e4a37c0
20467083 1 e8035e4a3800
20467307 1 e8035e4a3840
20467531 1 e8035e4a3880
20467755 1 e8035e4a38c0
20467979 1 e8035e4a3900
20468203 1 e8035e4a3940
20468427 1 e8035e4a3980
20468651 1 e8035e4a39c0
20468875 1 e8035e4a3a00
20469099 1 e8035e4a3a40
20469323 1 e8035e4a3a80
20469547 1 e8035e4a3ac0
20469771 1 e8035e4a3b00
20469995 1 e8035e4a3b40
20470219 1 e8035e4a3b80
20470443 1 e8035e4a3bc0
20470667 1 e8035e4a3c00
20470891 1 e8035e4a3c40
20471115 1 e8035e4a3c80
20471339 1 e8035e4a3cc0
20471563 1 e8035e4a3d00
20471787 1 e8035e4a3d40
20472011 1 e8035e4a3d80
20472235 3 
20472459 1 e8035e4a3e00
20472683 1 e8035e4a3e40
20472907 1 e8035e4a3e80
20473124 1 e8035e4a1e40
20474254 1 e8035e4a1e80
20476062 1 e8035e4a1ec0
20477870 1 e8035e4a1f00
20479678 1 e8035e4a1f40
20481486 1 e8035e4a1f80
20483294 1 e8035e4a1fc0
20485102 1 
20486910 1 e8035e4a4040
20488718 1 e8035e4a4080
20490526 1 e8035e4a40c0
20492334 1 e8035e4a4100
20494142 1 e8035e4a4140
20495950 1 e8035e4a4180
20497758 1 e8035e4a41c0
20499566 1 e8035e4a4200
20501374 1 e8035e4a4240
20503182 1 e8035e4a4280
20504990 1 e8035e4a42c0
20506798 1 e8035e4a4300
20508606 1 e8035e4a4340
20510414 0 e8035e4a4380
20512222 0 e8035e4a43c0
20514030 0 e8035e4a4400
20515838 0 e8035e4a4440
20517646 0 e8035e4a4480
20519454 0 e8035e4a44c0
20521262 0 e8035e4a4500
20523070 0 e8035e4a4540
20524878 0 e8035e4a4580
20526686 0 e8035e4a45c0
20528494 0 e8035e4a4600
20530302 0 e8035e4a4640
20532110 0 e8035e4a4680
20533918 0 e8035e4a46c0
20535726 0 e8035e4a4700
20537534 0 e8035e4a4740
20539342 0 e8035e4a4780
20541150 0 e8035e4a47c0
20542958 0 e8035e4a4800
20544766 0 e8035e4a4840
20546574 0 e8035e4a4880
20548382 0 e8035e4a48c0
20550190 0 e8035e4a4900
20551998 0 e8035e4a4940
20553806 0 e8035e4a4980
20555614 0 e8035e4a49c0
20557422 0 e8035e4a4a00
20559230 0 e8035e4a4a40
20561038 0 e8035e4a4a80
20562846 0 e8035e4a4ac0
20564654 0 e8035e4a4b00
20566462 0 e8035e4a4b40
20568270 0 e8035e4a4b80
20570078 0 e8035e4a4bc0
20571886 0 e8035e4a4c00
20573694 0 e8035e4a4c40
20575502 0 e8035e4a4c80
20577310 0 e8035e4a4cc0
20579118 0 e8035e4a4d00
20580926 0 e8035e4a4d40
20582734 0 e8035e4a4d80
20584542 0 e8035e4a4dc0
20586350 0 e8035e4a4e00
20588158 0 e8035e4a4e40
20588868 0 e8035e4a66c0
20589022 0 e8035e4a6700
20589246 0 e8035e4a6740
20589470 0 e8035e4a6780
20589694 0 e8035e4a67c0
20589918 0 e8035e4a6800
20590142 0 e8035e4a6840
20590366 0 e8035e4a6880
20590590 0 e8035e4a68c0
20590814 0 e8035e4a6900
20591038 0 e8035e4a6940
20591262 0 e8035e4a6980
20591486 0 e8035e4a69c0
20591710 0 e8035e4a6a00
20591934 0 e8035e4a6a40
20592158 0 e8035e4a6a80
20592382 0 e8035e4a6ac0
20592606 0 e8035e4a6b00
20592830 0 e8035e4a6b40
20593054 0 e8035e4a6b80
20593278 0 e8035e4a6bc0
20593502 0 e8035e4a6c00
20593726 0 e8035e4a6c40
20593950 0 e8035e4a6c80
20594174 0 e8035e4a6cc0
20594398 0 e8035e4a6d00
20594622 0 e8035e4a6d40
20594846 0 e8035e4a6d80
20595070 0 e8035e4a6dc0
20595294 0 e8035e4a6e00
20595518 0 e8035e4a6e40
20595742 0 e8035e4a6e80
20595966 0 e8035e4a6ec0
20596043 0 e8035e4a4e80
20597625 0 e8035e4a4ec0
20599433 0 e8035e4a4f00
20601241 0 e8035e4a4f40
20603049 0 e8035e4a4f80
20604857 0 e8035e4a4fc0
20606665 0 e8035e4a5000
20608473 0 e8035e4a7040
20610281 0 e8035e4a7080
20612089 0 e8035e4a70c0
20613897 0 e8035e4a7100
20615705 0 e8035e4a7140
20617513 0 e8035e4a7180
20619321 0 e8035e4a71c0
20621129 0 e8035e4a7200
20622937 0 e8035e4a7240
20624745 0 e8035e4a7280
20626553 0 e8035e4a72c0
20628361 0 e8035e4a7300
20630169 0 e8035e4a7340
20631977 0 e8035e4a7380
20633785 0 e8035e4a73c0
20635593 0 e8035e4a7400
20637401 0 e8035e4a7440
20639209 0 e8035e4a7480
20641017 0 e8035e4a74c0
20642825 0 e8035e4a7500
20644633 0 e8035e4a7540
20646441 0 e8035e4a7580
20648249 0 e8035e4a75c0
20650057 0 e8035e4a7600
20651865 0 e8035e4a7640
20653673 0 e8035e4a7680
20655481 0 e8035e4a76c0
20657289 0 e8035e4a7700
20659097 0 e8035e4a7740
20660905 0 e8035e4a7780
20662713 0 e8035e4a77c0
20664521 0 e8035e4a7800
20666329 0 e8035e4a7840
20668137 0 e8035e4a7880
20669945 0 e8035e4a78c0
20671753 0 e8035e4a7900
20673561 1 e8035e4a7940
20675369 1 e8035e4a7980
20677177 1 e8035e4a79c0
20678985 1 e8035e4a7a00
20680793 1 e8035e4a7a40
20682601 1 e8035e4a7a80
20684409 1 e8035e4a7ac0
20686217 1 e8035e4a7b00
20688025 1 e8035e4a7b40
20689833 1 e8035e4a7b80
20691641 1 e8035e4a7bc0
20693449 1 e8035e4a7c00
20695257 1 e8035e4a7c40
20697065 1 e8035e4a7c80
20698873 1 e8035e4a7cc0
20700681 1 e8035e4a7d00
20702489 1 e8035e4a7d40
20704297 1 e8035e4a7d80
20706105 1 e8035e4a7dc0
20707913 1 e8035e4a7e00
20709721 0 e8035e4a7e40
20711529 0 e8035e4a7e80
20711787 0 e8035e4a96c0
20711857 0 e8035e4a9700
20712081 0 e8035e4a9740
20712305 0 e8035e4a9780
20712529 0 e8035e4a97c0
20712753 0 e8035e4a9800
20712977 0 e8035e4a9840
20713201 0 e8035e4a9880
20713425 0 e8035e4a98c0
20713649 0 e8035e4a9900
20713873 0 e8035e4a9940
20714097 0 e8035e4a9980
20714321 0 e8035e4a99c0
20714545 0 e8035e4a9a00
20714769 0 e8035e4a9a40
20714993 0 e8035e4a9a80
20715217 0 e8035e4a9ac0
20715441 0 e8035e4a9b00
20715665 0 e8035e4a9b40
20715889 0 e8035e4a9b80
20716113 0 e8035e4a9bc0
20716337 0 e8035e4a9c00
20716561 0 e8035e4a9c40
20716785 0 e8035e4a9c80
20717009 0 e8035e4a9cc0
20717233 0 e8035e4a9d00
20717457 0 e8035e4a9d40
20717681 0 e8035e4a9d80
20717905 0 e8035e4a9dc0
20718129 0 e8035e4a9e00
20718353 0 e8035e4a9e40
20718577 0 e8035e4a9e80
20718801 0 e8035e4a9ec0
20719188 0 e8035e4a7ec0
20720996 0 e8035e4a7f00
20722804 0 e8035e4a7f40
20724612 0 e8035e4a7f80
20726420 0 e8035e4a7fc0
20728228 0 e8035e4a8000
20730036 0 e8035e4aa040
20731844 0 e8035e4aa080
20733652 0 e8035e4aa0c0
20735460 0 e8035e4aa100
20737268 0 e8035e4aa140
20739076 0 e8035e4aa180
20740884 0 e8035e4aa1c0
20742692 0 e8035e4aa200
20744500 0 e8035e4aa240
20746308 0 e8035e4aa280
20748116 0 e8035e4aa2c0
20749924 0 e8035e4aa300
20751732 0 e8035e4aa340
20753540 0 e8035e4aa380
20755348 0 e8035e4aa3c0
20757156 0 e8035e4aa400
20758964 0 e8035e4aa440
20760772 0 e8035e4aa480
20762580 0 e8035e4aa4c0
20764388 1 e8035e4aa500
20766196 1 e8035e4aa540
20768004 1 e8035e4aa580
20769812 1 e8035e4aa5c0
20771620 1 e8035e4aa600
20773428 1 e8035e4aa640
20775236 1 e8035e4aa680
20777044 1 e8035e4aa6c0
20778852 1 e8035e4aa700
20780660 1 e8035e4aa740
20782468 1 e8035e4aa780
20784276 1 e8035e4aa7c0
20786084 1 e8035e4aa800
20787892 1 e8035e4aa840
20789700 1 e8035e4aa880
20791508 1 e8035e4aa8c0
20793316 1 e8035e4aa900
20795124 1 e8035e4aa940
20796932 1 e8035e4aa980
20798740 1 e8035e4aa9c0
20800548 0 e8035e4aaa00
20802356 0 e8035e4aaa40
20804164 0 e8035e4aaa80
20805972 0 e8035e4aaac0
20807780 0 e8035e4aab00
20809588 0 e8035e4aab40
20811396 0 e8035e4aab80
20813204 0 e8035e4aabc0
20815012 0 e8035e4aac00
20816820 0 e8035e4aac40
20818628 0 e8035e4aac80
20820436 0 e8035e4aacc0
20822244 0 e8035e4aad00
20824052 0 e8035e4aad40
20825860 0 e8035e4aad80
20827668 0 e8035e4aadc0
20829476 0 e8035e4aae00
20831284 0 e8035e4aae40
20833092 0 e8035e4aae80
20834706 0 e8035e4ac700
20834916 1 e8035e4ac740
20835140 1 e8035e4ac780
20835364 1 e8035e4ac7c0
20835588 1 e8035e4ac800
20835812 1 e8035e4ac840
20836036 1 e8035e4ac880
20836260 1 e8035e4ac8c0
20836484 1 e8035e4ac900
20836708 1 e8035e4ac940
20836932 1 e8035e4ac980
20837156 1 e8035e4ac9c0
20837380 1 e8035e4aca00
20837604 1 e8035e4aca40
20837828 1 e8035e4aca80
20838052 1 e8035e4acac0
20838276 1 e8035e4acb00
20838500 1 e8035e4acb40
20838724 1 e8035e4acb80
20838948 1 e8035e4acbc0
20839172 1 e8035e4acc00
20839396 0 e8035e4acc40
20839620 0 e8035e4acc80
20839844 0 e8035e4accc0
20840068 0 e8035e4acd00
20840292 0 e8035e4acd40
20840516 0 e8035e4acd80
20840740 0 e8035e4acdc0
20840964 0 e8035e4ace00
20841188 0 e8035e4ace40
20841412 0 e8035e4ace80
20841636 0 e8035e4acec0
20841860 0 e8035e4acf00
20841881 0 e8035e4aaec0
20842559 0 e8035e4aaf00
20844367 0 e8035e4aaf40
20846175 0 e8035e4aaf80
20847983 0 e8035e4aafc0
20849791 0 e8035e4ab000
20851599 0 e8035e4ad040
20853407 0 e8035e4ad080
20855215 1 e8035e4ad0c0
20857023 1 e8035e4ad100
20858831 1 e8035e4ad140
20860639 1 e8035e4ad180
20862447 1 e8035e4ad1c0
20864255 1 e8035e4ad200
20866063 1 e8035e4ad240
20867871 1 e8035e4ad280
20869679 1 e8035e4ad2c0
20871487 1 e8035e4ad300
20873295 1 e8035e4ad340
20875103 1 e8035e4ad380
20876911 1 e8035e4ad3c0
20878719 1 e8035e4ad400
20880527 1 e8035e4ad440
20882335 1 e8035e4ad480
20884143 1 e8035e4ad4c0
20885951 1 e8035e4ad500
20887759 1 e8035e4ad540
20889567 1 e8035e4ad580
20891375 0 e8035e4ad5c0
20893183 0 e8035e4ad600
20894991 0 e8035e4ad640
20896799 0 e8035e4ad680
20898607 0 e8035e4ad6c0
20900415 0 e8035e4ad700
20902223 0 e8035e4ad740
20904031 0 e8035e4ad780
20905839 0 e8035e4ad7c0
20907647 0 e8035e4ad800
20909455 0 e8035e4ad840
20911263 0 e8035e4ad880
20913071 0 e8035e4ad8c0
20914879 0 e8035e4ad900
20916687 0 e8035e4ad940
20918495 0 e8035e4ad980
20920303 0 e8035e4ad9c0
20922111 0 e8035e4ada00
20923919 0 e8035e4ada40
20925727 0 e8035e4ada80
20927535 0 e8035e4adac0
20929343 0 e8035e4adb00
20931151 0 e8035e4adb40
20932959 0 e8035e4adb80
20934767 0 e8035e4adbc0
20936575 0 e8035e4adc00
20938383 0 e8035e4adc40
20940191 0 e8035e4adc80
20941999 0 e8035e4adcc0
20943807 0 e8035e4add00
20945615 0 e8035e4add40
20947423 0 e8035e4add80
20949231 0 e8035e4addc0
20951039 0 e8035e4ade00
20952847 0 e8035e4ade40
20954655 0 e8035e4ade80
20956463 0 e8035e4adec0
20957625 0 e8035e4af700
20957751 0 e8035e4af740
20957975 0 e8035e4af780
20958199 0 e8035e4af7c0
20958423 0 e8035e4af800
20958647 0 e8035e4af840
20958871 0 e8035e4af880
20959095 0 e8035e4af8c0
20959319 0 e8035e4af900
20959543 0 e8035e4af940
20959767 0 e8035e4af980
20959991 0 e8035e4af9c0
20960215 0 e8035e4afa00
20960439 0 e8035e4afa40
20960663 0 e8035e4afa80
20960887 0 e8035e4afac0
20961111 0 e8035e4afb00
20961335 0 e8035e4afb40
20961559 0 e8035e4afb80
20961783 0 e8035e4afbc0
20962007 0 e8035e4afc00
20962231 0 e8035e4afc40
20962455 0 e8035e4afc80
20962679 1 e8035e4afcc0
20962903 1 e8035e4afd00
20963127 1 e8035e4afd40
20963351 1 e8035e4afd80
20963575 1 e8035e4afdc0
20963799 1 e8035e4afe00
20964023 1 e8035e4afe40
20964247 1 e8035e4afe80
20964471 1 e8035e4afec0
20964695 1 e8035e4aff00
20964800 1 e8035e4adf00
20965930 1 e8035e4adf40
20967738 1 e8035e4adf80
20969546 1 e8035e4adfc0
20971354 1 
20973162 1 e8035e4b0040
20974970 1 e8035e4b0080
20976778 1 e8035e4b00c0
20978586 1 e8035e4b0100
20980394 1 e8035e4b0140
20982202 0 e8035e4b0180
20984010 0 e8035e4b01c0
20985818 0 e8035e4b0200
20987626 0 e8035e4b0240
20989434 0 e8035e4b0280
20991242 0 e8035e4b02c0
20993050 0 e8035e4b0300
20994858 0 e8035e4b0340
20996666 0 e8035e4b0380
20998474 0 e8035e4b03c0
21000282 0 e8035e4b0400
21002090 0 e8035e4b0440
21003898 0 e8035e4b0480
21005706 0 e8035e4b04c0
21007514 0 e8035e4b0500
21009322 0 e8035e4b0540
21011130 0 e8035e4b0580
21012938 0 e8035e4b05c0
21014746 0 e8035e4b0600
21016554 0 e8035e4b0640
21018362 1 e8035e4b0680
21020170 1 e8035e4b06c0
21021978 1 e8035e4b0700
21023786 1 e8035e4b0740
21025594 1 e8035e4b0780
21027402 1 e8035e4b07c0
21029210 1 e8035e4b0800
21031018 1 e8035e4b0840
21032826 1 e8035e4b0880
21034634 1 e8035e4b08c0
21036442 1 e8035e4b0900
21038250 1 e8035e4b0940
21040058 1 e8035e4b0980
21041866 1 e8035e4b09c0
21043674 1 e8035e4b0a00
21045482 1 e8035e4b0a40
21047290 1 e8035e4b0a80
21049098 1 e8035e4b0ac0
21050906 1 e8035e4b0b00
21052714 1 e8035e4b0b40
21054522 0 e8035e4b0b80
21056330 0 e8035e4b0bc0
21058138 0 e8035e4b0c00
21059946 0 e8035e4b0c40
21061754 0 e8035e4b0c80
21063562 0 e8035e4b0cc0
21065370 0 e8035e4b0d00
21067178 0 e8035e4b0d40
21068986 0 e8035e4b0d80
21070794 0 e8035e4b0dc0
21072602 0 e8035e4b0e00
21074410 0 e8035e4b0e40
21076218 0 e8035e4b0e80
21078026 0 e8035e4b0ec0
21079834 0 e8035e4b0f00
21080544 0 e8035e4b2700
21080586 0 e8035e4b2740
21080810 0 e8035e4b2780
21081034 0 e8035e4b27c0
21081258 0 e8035e4b2800
21081482 1 e8035e4b2840
21081706 1 e8035e4b2880
21081930 1 e8035e4b28c0
21082154 1 e8035e4b2900
21082378 1 e8035e4b2940
21082602 1 e8035e4b2980
21082826 1 e8035e4b29c0
21083050 1 e8035e4b2a00
21083274 1 e8035e4b2a40
21083498 1 e8035e4b2a80
21083722 1 e8035e4b2ac0
21083946 1 e8035e4b2b00
21084170 1 e8035e4b2b40
21084394 1 e8035e4b2b80
21084618 1 e8035e4b2bc0
21084842 1 e8035e4b2c00
21085066 1 e8035e4b2c40
21085290 1 e8035e4b2c80
21085514 1 e8035e4b2cc0
21085738 1 e8035e4b2d00
21085962 0 e8035e4b2d40
21086186 0 e8035e4b2d80
21086410 0 e8035e4b2dc0
21086634 0 e8035e4b2e00
21086858 0 e8035e4b2e40
21087082 0 e8035e4b2e80
21087306 0 e8035e4b2ec0
21087530 0 e8035e4b2f00
21087719 0 e8035e4b0f40
21089301 0 e8035e4b0f80
21091109 0 e8035e4b0fc0
21092917 0 e8035e4b1000
21094725 0 e8035e4b3040
21096533 0 e8035e4b3080
21098341 0 e8035e4b30c0
21100149 0 e8035e4b3100
21101957 0 e8035e4b3140
21103765 0 e8035e4b3180
21105573 0 e8035e4b31c0
21107381 0 e8035e4b3200
21109189 1 e8035e4b3240
21110997 1 e8035e4b3280
21112805 1 e8035e4b32c0
21114613 1 e8035e4b3300
21116421 1 e8035e4b3340
21118229 1 e8035e4b3380
21120037 1 e8035e4b33c0
21121845 1 e8035e4b3400
21123653 1 e8035e4b3440
21125461 1 e8035e4b3480
21127269 1 e8035e4b34c0
21129077 1 e8035e4b3500
21130885 1 e8035e4b3540
21132693 1 e8035e4b3580
21134501 1 e8035e4b35c0
21136309 1 e8035e4b3600
21138117 1 e8035e4b3640
21139925 1 e8035e4b3680
21141733 1 e8035e4b36c0
21143541 1 e8035e4b3700
21145349 0 e8035e4b3740
21147157 0 e8035e4b3780
21148965 0 e8035e4b37c0
21150773 0 e8035e4b3800
21152581 0 e8035e4b3840
21154389 0 e8035e4b3880
21156197 0 e8035e4b38c0
21158005 0 e8035e4b3900
21159813 0 e8035e4b3940
21161621 0 e8035e4b3980
21163429 0 e8035e4b39c0
21165237 0 e8035e4b3a00
21167045 0 e8035e4b3a40
21168853 0 e8035e4b3a80
21170661 0 e8035e4b3ac0
21172469 0 e8035e4b3b00
21174277 0 e8035e4b3b40
21176085 0 e8035e4b3b80
21177893 0 e8035e4b3bc0
21179701 0 e8035e4b3c00
21181509 1 e8035e4b3c40
21183317 1 e8035e4b3c80
21185125 1 e8035e4b3cc0
21186933 1 e8035e4b3d00
21188741 1 e8035e4b3d40
21190549 1 e8035e4b3d80
21192357 1 e8035e4b3dc0
21194165 1 e8035e4b3e00
21195973 1 e8035e4b3e40
21197781 1 e8035e4b3e80
21199589 1 e8035e4b3ec0
21201397 1 e8035e4b3f00
21203205 1 e8035e4b3f40
21203463 1 
21203645 1 e8035e4b5780
21203869 1 e8035e4b57c0
21204093 1 e8035e4b5800
21204317 1 e8035e4b5840
21204541 1 e8035e4b5880
21204765 1 e8035e4b58c0
21204989 0 e8035e4b5900
21205213 0 e8035e4b5940
21205437 0 e8035e4b5980
21205661 0 e8035e4b59c0
21205885 0 e8035e4b5a00
21206109 0 e8035e4b5a40
